slug,name,category_id,definition,when_to_use,prompt_example,pairs_well_with,works_in,tier,images,status,source,date_added
golden-hour,Golden Hour,lighting,"The warm, honey-colored light you get just after sunrise or before sunset. It makes everything look softer, kinder, and more expensive.","Use when you want instant warmth and beauty with one word. If a prompt feels flat, this is the first thing to try.","""portrait of a gardener, golden hour light""",rim light;soft focus;backlit,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
rim-light,Rim Light,lighting,"A thin outline of light around your subject's edges, like they're glowing from behind. Separates the subject from the background beautifully.","Use when your subject blends into the background, or you want a cinematic, polished feel.","""black cat on a fence, rim light, dusk""",golden hour;chiaroscuro;silhouette,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
chiaroscuro,Chiaroscuro,lighting,"An old painting term for dramatic light against deep shadow. Think candlelit faces in dark rooms, Rembrandt style.","Use for moody portraits, mystery, and drama. Not for cheerful scenes; it will darken everything.","""violinist in an empty theatre, chiaroscuro""",candlelight;oil painting;film noir,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
overcast-light,Overcast Light,lighting,"The soft, even light of a cloudy day. No harsh shadows, no squinting. Very flattering and calm.","Use for gentle, honest scenes and soft product shots. Great when harsh shadows keep ruining your image.","""woman reading on a porch, overcast light""",muted palette;candid;soft focus,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
neon-glow,Neon Glow,lighting,"Electric, colorful light like city signs at night. Pinks, blues, and purples bouncing off wet streets and faces.","Use for nightlife, retro-future vibes, or anything that should feel electric and modern.","""ramen stall at midnight, neon glow""",cyberpunk;rain;reflections,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
candlelight,Candlelight,lighting,"Warm, flickering, intimate light from a small flame. Everything feels closer and quieter.","Use for cozy, romantic, or historical scenes. It naturally darkens the edges of the frame.","""handwritten letter on a desk, candlelight""",chiaroscuro;vintage;still life,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
volumetric-light,Volumetric Light,lighting,"Light you can see traveling through the air, like sunbeams through dust or fog. Adds instant atmosphere and depth.","Use when a scene feels empty; visible light rays fill space beautifully. Forests, churches, and windows love this.","""old library, volumetric light through tall windows""",fog;god rays;atmospheric,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
bioluminescence,Bioluminescence,lighting,"Natural glow from living things, like glowing mushrooms, plankton, or deep-sea creatures. Magical and otherworldly.","Use for fantasy scenes, night nature, and anything that should feel softly magical without being cartoonish.","""midnight forest floor, bioluminescent mushrooms""",fantasy;night scene;teal and cyan,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
weathered,Weathered,textures,"Aged by time and the elements. Peeling paint, worn wood, soft rust. Surfaces that have lived a life.",Use to add character and honesty to objects and places. New and shiny often reads as fake; weathered reads as real.,"""weathered fishing boat on a grey beach""",rustic;patina;overcast light,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
iridescent,Iridescent,textures,"A surface that shifts colors as it catches light, like soap bubbles, beetle shells, or oil on water.","Use for magic, luxury, and dreamlike surfaces. A little goes a long way.","""iridescent silk gown, studio light""",holographic;pearlescent;fantasy,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
